symbol,name,company_id
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,4028e4a24158e42401415ad34c7f7db7
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,8acae2c57f7cbb48018007c3ad6154d4
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,4028e4a24158e42401415ada104f7e44
CRDFA,CREDITWEST FAKTORİNG A.Ş.,4028e4a141558bdd0141561c84700589
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,4028e4a140ee35c00140ee56930f0024
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,8acae2c552495f6401529d6a45d10598
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,8acae2c586d22c510187381ba299429a
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,8acae2c56faf888c016fd6c2036e0a5d
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,4028e4a140f2ed7101411160c8c6020f
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,8acae2c47d3bee4e017ea0492b6a0595
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,4028e4a144a0804e014521a6ca1c0705
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,8acae2c48c3efac00190dade5a963277
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,4028e4a240ee866c0140f1f80b55002b
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,8acae2c469cee2a4016a5492160c43c3
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,4028e4a140f2ed710141116818390237
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,4028e4a240ee866c0140f1fe48fa0070
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,4028e4a2416e697d01416ea9d5741424
DEVA,DEVA HOLDİNG A.Ş.,4028e4a140f2ed710141116ab1d60241
DFKTR,DORUK FAKTORİNG A.Ş.,4028e4a141462dfe01414b0e029d286f
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,4028e4a2416e697d01416eabc02d14f8
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a140e8cfa00140e9497d32002f
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,4028e4a240f27df70140f2eae68c0032
DGRVK,DEĞER VARLIK KİRALAMA A.Ş.,8acae2c575a1b5b60176707955d239ff
